date,AOR
2021-03-24,51.3047
2021-03-25,51.5381
2021-03-26,52.0621
2021-03-29,51.9365
2021-03-30,51.8189
2021-03-31,51.9455
2021-04-01,52.4102
2021-04-05,52.7988
2021-04-06,52.7414
2021-04-07,52.7029
2021-04-08,52.9254
2021-04-09,53.052
2021-04-12,52.9551
2021-04-13,53.1399
2021-04-14,53.0915
2021-04-15,53.4119
2021-04-16,53.6057
2021-04-19,53.3921
2021-04-20,53.0816
2021-04-21,53.3921
2021-04-22,53.1875
2021-04-23,53.5582
2021-04-26,53.6838
2021-04-27,53.6057
2021-04-28,53.6838
2021-04-29,53.6936
2021-04-30,53.3338
2021-05-03,53.5098
2021-05-04,53.3139
2021-05-05,53.4119
2021-05-06,53.7619
2021-05-07,54.0428
2021-05-10,53.6245
2021-05-11,53.3041
2021-05-12,52.5763
2021-05-13,52.9551
2021-05-14,53.4119
2021-05-17,53.3733
2021-05-18,53.2754
2021-05-19,53.1498
2021-05-20,53.5582
2021-05-21,53.5186
2021-05-24,53.7421
2021-05-25,53.7619
2021-05-26,53.9172
2021-05-27,53.937
2021-05-28,54.0229
2021-06-01,54.1208
2021-06-02,54.2286
2021-06-03,54.0131
2021-06-04,54.374
2021-06-07,54.2959
2021-06-08,54.3255
2021-06-09,54.3058
2021-06-10,54.4313
2021-06-11,54.5005
2021-06-14,54.5886
2021-06-15,54.4413
2021-06-16,54.2484
2021-06-17,54.1307
2021-06-18,53.7036
2021-06-21,54.112
2021-06-22,54.1702
2021-06-23,54.1307
2021-06-24,54.3542
2021-06-25,54.4313
2021-06-28,54.4709
2021-06-29,54.4907
2021-06-30,54.4215
2021-07-01,54.5005
2021-07-02,54.7537
2021-07-06,54.6765
2021-07-07,54.7537
2021-07-08,54.3918
2021-07-09,54.8515
2021-07-12,54.9208
2021-07-13,54.7537
2021-07-14,54.901
2021-07-15,54.7142
2021-07-16,54.3918
2021-07-19,53.9537
2021-07-20,54.4215
2021-07-21,54.6083
2021-07-22,54.7636
2021-07-23,54.901
2021-07-26,54.9594
2021-07-27,54.7042
2021-07-28,54.9791
2021-07-29,55.1443
2021-07-30,54.8615
2021-08-02,54.9396
